epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,834.453,0.42363,0.29794,0.81504,0.9462,0.9576,0.98778,0.91415,0.47957,0.35701,0.79753,0.000404375,0.000404375,0.000404375
43,852.901,0.42448,0.29511,0.81488,0.97239,0.96996,0.99068,0.91246,0.49742,0.31057,0.80064,0.00038375,0.00038375,0.00038375
44,872.37,0.4284,0.29627,0.81792,0.96603,0.96166,0.98776,0.91288,0.48522,0.33635,0.79855,0.000363125,0.000363125,0.000363125
45,891.1,0.42067,0.28677,0.81469,0.93324,0.92848,0.97829,0.90382,0.47859,0.50411,0.80068,0.0003425,0.0003425,0.0003425
46,910.662,0.41748,0.29548,0.81445,0.98138,0.95871,0.99197,0.91826,0.47695,0.28907,0.79701,0.000321875,0.000321875,0.000321875
47,929.633,0.4156,0.28274,0.80956,0.97356,0.96976,0.99052,0.91693,0.47621,0.30262,0.79571,0.00030125,0.00030125,0.00030125
48,948.935,0.42237,0.27406,0.81369,0.98174,0.97012,0.99032,0.91777,0.47343,0.28364,0.79725,0.000280625,0.000280625,0.000280625
49,967.973,0.41125,0.27261,0.81306,0.97488,0.97143,0.99169,0.92153,0.47386,0.28901,0.79771,0.00026,0.00026,0.00026
50,986.532,0.40372,0.2604,0.81147,0.97465,0.95676,0.99006,0.92113,0.47768,0.31369,0.79846,0.000239375,0.000239375,0.000239375
51,1007.45,0.40125,0.24057,0.80516,0.97019,0.95377,0.98672,0.91494,0.47559,0.35287,0.79555,0.00021875,0.00021875,0.00021875
52,1025.9,0.39712,0.23457,0.8008,0.97501,0.97709,0.99177,0.9255,0.47435,0.27636,0.79473,0.000198125,0.000198125,0.000198125
53,1045.08,0.3905,0.21151,0.80205,0.94623,0.95139,0.98218,0.91444,0.47943,0.37571,0.79778,0.0001775,0.0001775,0.0001775
54,1063.53,0.387,0.20908,0.79606,0.97465,0.96214,0.98975,0.91957,0.47752,0.292,0.7967,0.000156875,0.000156875,0.000156875
55,1082.74,0.39613,0.22449,0.8038,0.96559,0.96497,0.98839,0.91871,0.48299,0.32652,0.79696,0.00013625,0.00013625,0.00013625
56,1100.89,0.38729,0.20949,0.79714,0.9736,0.97077,0.99096,0.92449,0.48134,0.3158,0.79697,0.000115625,0.000115625,0.000115625
57,1118.95,0.38589,0.21379,0.79193,0.97207,0.94468,0.98723,0.91868,0.48359,0.33693,0.79636,9.5e-05,9.5e-05,9.5e-05
58,1138.08,0.3821,0.21539,0.7979,0.97365,0.9767,0.99253,0.92364,0.47719,0.29191,0.79465,7.4375e-05,7.4375e-05,7.4375e-05
59,1156.21,0.37457,0.19139,0.79636,0.97858,0.97266,0.9916,0.92273,0.47888,0.31467,0.79525,5.375e-05,5.375e-05,5.375e-05
60,1174.7,0.37921,0.192,0.79738,0.97601,0.97479,0.9918,0.92632,0.47634,0.30512,0.79483,3.3125e-05,3.3125e-05,3.3125e-05
